as_kick_scale_true,tox_persist_true,tox_trigger_belief,as_kick_scale,tox_persist_model,AlwaysMarket_mean,AlwaysMarket_p90,AlwaysMarket_fill_rate,ToxicityAware_mean,ToxicityAware_p90,ToxicityAware_fill_rate,delta_mean,delta_p90,delta_fill_rate,n_seeds
0.02,0.95,0.5,0.02,0.5,0.00844881700356126,0.0603046333781066,nan,0.023313600301621593,0.16122267255242947,nan,0.014864783298060333,0.10091803917432288,nan,50.0
0.02,0.95,0.6,0.02,0.6,0.00844881700356126,0.0603046333781066,nan,0.024943417763091988,0.13261776761335115,nan,0.016494600759530728,0.07231313423524455,nan,50.0
0.02,0.95,0.7,0.02,0.7,0.00844881700356126,0.0603046333781066,nan,0.025758495190352733,0.1352209506357326,nan,0.017309678186791473,0.07491631725762601,nan,50.0
0.02,0.95,0.8,0.02,0.8,0.00844881700356126,0.0603046333781066,nan,0.025205314178033688,0.1352285633392498,nan,0.016756497174472428,0.07492392996114319,nan,50.0
0.03,0.6,0.5,0.03,0.5,0.008381767350246037,0.06035536940914455,nan,0.006318119953238863,0.13308478264919046,nan,-0.0020636473970071737,0.07272941324004592,nan,50.0
0.03,0.6,0.6,0.03,0.6,0.008381767350246037,0.06035536940914455,nan,0.03384684650557261,0.1441330008965494,nan,0.025465079155326573,0.08377763148740486,nan,50.0
0.03,0.6,0.7,0.03,0.7,0.008381767350246037,0.06035536940914455,nan,0.03188374569260986,0.14099270627998522,nan,0.023501978342363825,0.08063733687084068,nan,50.0
0.03,0.6,0.8,0.03,0.8,0.008381767350246037,0.06035536940914455,nan,0.03188374601164099,0.14099270627998522,nan,0.023501978661394952,0.08063733687084068,nan,50.0
0.03,0.75,0.5,0.03,0.5,0.008410502915953657,0.0603336253958446,nan,0.012681759411971711,0.1540463405158789,nan,0.004271256496018054,0.09371271512003429,nan,50.0
0.03,0.75,0.6,0.03,0.6,0.008410502915953657,0.0603336253958446,nan,0.03534767581362445,0.1436763312949765,nan,0.02693717289767079,0.0833427058991319,nan,50.0
0.03,0.75,0.7,0.03,0.7,0.008410502915953657,0.0603336253958446,nan,0.031736833002216545,0.1404552828161826,nan,0.02332633008626289,0.080121657420338,nan,50.0
0.03,0.75,0.8,0.03,0.8,0.008410502915953657,0.0603336253958446,nan,0.03175001993974604,0.14045527799575694,nan,0.023339517023792385,0.08012165259991233,nan,50.0
0.03,0.85,0.5,0.03,0.5,0.008429659959756747,0.06031912938698128,nan,0.02384687790845078,0.1471192393437434,nan,0.015417217948694032,0.08680010995676213,nan,50.0
0.03,0.85,0.6,0.03,0.6,0.008429659959756747,0.06031912938698128,nan,0.03359711757907604,0.13959522525431822,nan,0.025167457619319294,0.07927609586733694,nan,50.0
0.03,0.85,0.7,0.03,0.7,0.008429659959756747,0.06031912938698128,nan,0.0323210528496972,0.13992312837984996,nan,0.023891392889940452,0.07960399899286869,nan,50.0
0.03,0.85,0.8,0.03,0.8,0.008429659959756747,0.06031912938698128,nan,0.03174390617890538,0.13992312438069376,nan,0.023314246219148634,0.07960399499371248,nan,50.0
0.03,0.95,0.5,0.03,0.5,0.00844881700356126,0.0603046333781066,nan,0.030460301647563595,0.17569796607754284,nan,0.022011484644002335,0.11539333269943625,nan,50.0
0.03,0.95,0.6,0.03,0.6,0.00844881700356126,0.0603046333781066,nan,0.030955456100775224,0.13688959593060446,nan,0.022506639097213964,0.07658496255249786,nan,50.0
0.03,0.95,0.7,0.03,0.7,0.00844881700356126,0.0603046333781066,nan,0.03257816688392268,0.13911897056077863,nan,0.024129349880361417,0.07881433718267203,nan,50.0
0.03,0.95,0.8,0.03,0.8,0.00844881700356126,0.0603046333781066,nan,0.03191215615281692,0.13911897025928538,nan,0.023463339149255663,0.07881433688117878,nan,50.0
0.05,0.6,0.5,0.05,0.5,0.008381767350246037,0.06035536940914455,nan,0.020281798870096564,0.15024385244761335,nan,0.011900031519850527,0.0898884830384688,nan,50.0
0.05,0.6,0.6,0.05,0.6,0.008381767350246037,0.06035536940914455,nan,0.04708058463496655,0.15757500953965578,nan,0.038698817284720514,0.09721964013051124,nan,50.0
0.05,0.6,0.7,0.05,0.7,0.008381767350246037,0.06035536940914455,nan,0.045260109848588,0.14901673353046477,nan,0.03687834249834196,0.08866136412132022,nan,50.0
0.05,0.6,0.8,0.05,0.8,0.008381767350246037,0.06035536940914455,nan,0.04526011135467826,0.14901673353046477,nan,0.03687834400443222,0.08866136412132022,nan,50.0
0.05,0.75,0.5,0.05,0.5,0.008410502915953657,0.0603336253958446,nan,0.026689871204836492,0.16693451286340774,nan,0.018279368288882835,0.10660088746756313,nan,50.0
0.05,0.75,0.6,0.05,0.6,0.008410502915953657,0.0603336253958446,nan,0.04844271609080408,0.15639082389690345,nan,0.04003221317485042,0.09605719850105884,nan,50.0
0.05,0.75,0.7,0.05,0.7,0.008410502915953657,0.0603336253958446,nan,0.04504259486241409,0.1482963933196615,nan,0.03663209194646043,0.08796276792381688,nan,50.0
0.05,0.75,0.8,0.05,0.8,0.008410502915953657,0.0603336253958446,nan,0.04505621725961646,0.14829639276691894,nan,0.0366457143436628,0.08796276737107434,nan,50.0
0.05,0.85,0.5,0.05,0.5,0.008429659959756747,0.06031912938698128,nan,0.038614624228422656,0.1719345571717625,nan,0.03018496426866591,0.11161542778478123,nan,50.0
0.05,0.85,0.6,0.05,0.6,0.008429659959756747,0.06031912938698128,nan,0.04608400567515673,0.1544030442457384,nan,0.03765434571539999,0.09408391485875711,nan,50.0
0.05,0.85,0.7,0.05,0.7,0.008429659959756747,0.06031912938698128,nan,0.04562629009774412,0.14767338106681366,nan,0.03719663013798737,0.08735425167983238,nan,50.0
0.05,0.85,0.8,0.05,0.8,0.008429659959756747,0.06031912938698128,nan,0.045057899345808894,0.14767338061443525,nan,0.03662823938605215,0.08735425122745397,nan,50.0
0.05,0.95,0.5,0.05,0.5,0.00844881700356126,0.0603046333781066,nan,0.0447537043394351,0.18235699124832794,nan,0.036304887335873844,0.12205235787022134,nan,50.0
0.05,0.95,0.6,0.05,0.6,0.00844881700356126,0.0603046333781066,nan,0.04297953277614454,0.1455071517837993,nan,0.03453071577258328,0.0852025184056927,nan,50.0
0.05,0.95,0.7,0.05,0.7,0.00844881700356126,0.0603046333781066,nan,0.04621751027106399,0.1464013484729307,nan,0.03776869326750273,0.08609671509482411,nan,50.0
0.05,0.95,0.8,0.05,0.8,0.00844881700356126,0.0603046333781066,nan,0.04532584010238679,0.14640134858440207,nan,0.03687702309882553,0.08609671520629547,nan,50.0
